,img_index,fraction,0,1,2
0,0,0.022446688264608383,158.0,111.0,104.0
1,1,0.07846137881278992,169.0,152.0,126.0
2,2,0.03499642759561539,242.0,228.0,207.0
3,3,0.021018262952566147,38.0,29.0,11.0
4,4,0.0019385777413845062,82.0,122.0,124.0
5,5,0.03948576748371124,185.0,139.0,129.0
6,6,0.033159881830215454,180.0,139.0,139.0
7,7,0.01958983764052391,156.0,116.0,116.0
8,8,0.04887256398797035,140.0,123.0,96.0
9,9,0.007040097843855619,165.0,95.0,97.0
10,0,0.16042569279670715,96.0,14.0,23.0
11,1,0.04188017174601555,214.0,194.0,166.0
12,2,0.016062278300523758,158.0,109.0,94.0
13,3,0.035179346799850464,72.0,91.0,23.0
14,4,0.05419787019491196,70.0,3.0,7.0
15,5,0.04473787918686867,240.0,231.0,204.0
16,6,0.02138352394104004,138.0,56.0,58.0
17,7,0.01468269620090723,230.0,183.0,168.0
18,8,0.014387071132659912,146.0,37.0,53.0
19,9,0.027000393718481064,80.0,39.0,27.0
20,0,0.012709368020296097,66.0,79.0,142.0
21,1,0.014308559708297253,42.0,57.0,21.0
22,2,0.011615184135735035,45.0,51.0,77.0
23,3,0.011531015858054161,70.0,89.0,28.0
24,4,0.012625199742615223,145.0,162.0,120.0
25,5,0.24046798050403595,199.0,201.0,198.0
26,6,0.009342648088932037,39.0,49.0,106.0
27,7,0.012541031464934349,101.0,116.0,183.0
28,8,0.007995960302650928,99.0,113.0,200.0
29,9,0.005639255978167057,65.0,78.0,161.0
30,0,0.06452097743749619,231.0,118.0,183.0
31,1,0.04752594232559204,198.0,77.0,127.0
32,2,0.05399307981133461,249.0,172.0,228.0
33,3,0.0153406523168087,253.0,215.0,251.0
34,4,0.01564144901931286,239.0,240.0,244.0
35,5,0.0004511956649366766,52.0,51.0,101.0
36,6,0.03805083408951759,232.0,113.0,160.0
37,7,0.02601895108819008,194.0,81.0,145.0
38,8,0.029628515243530273,252.0,150.0,214.0
39,9,0.02030380442738533,157.0,42.0,90.0
40,0,0.06742697209119797,164.0,144.0,208.0
41,1,0.09423769265413284,147.0,109.0,183.0
42,2,0.027010804042220116,29.0,56.0,18.0
43,3,0.11354541778564453,8.0,17.0,9.0
44,4,0.011104442179203033,134.0,120.0,89.0
45,5,0.006402560975402594,43.0,91.0,17.0
46,6,0.06592637300491333,163.0,142.0,187.0
47,7,0.05602240934967995,132.0,111.0,176.0
48,8,0.06482592970132828,141.0,114.0,155.0
49,9,0.03351340442895889,168.0,132.0,208.0
50,0,0.4084571301937103,202.0,198.0,194.0
51,1,0.021485714241862297,135.0,161.0,128.0
52,2,0.07988571375608444,67.0,94.0,54.0
53,3,0.011657143011689186,49.0,93.0,36.0
54,4,0.017485713586211205,231.0,187.0,189.0
55,5,0.024228570982813835,237.0,190.0,179.0
56,6,0.03885714337229729,165.0,154.0,146.0
57,7,0.006171428598463535,189.0,148.0,149.0
58,8,0.05428571254014969,220.0,219.0,214.0
59,9,0.042742855846881866,96.0,127.0,92.0
60,0,0.244003027677536,254.0,202.0,232.0
61,1,0.006480935961008072,81.0,43.0,49.0
62,2,0.04469320923089981,242.0,194.0,215.0
63,3,0.01489773578941822,249.0,177.0,205.0
64,4,0.006228432059288025,251.0,183.0,225.0
65,5,0.008248464204370975,216.0,136.0,161.0
66,6,0.010184328071773052,252.0,203.0,237.0
67,7,0.00917431153357029,194.0,145.0,152.0
68,8,0.009342648088932037,155.0,108.0,115.0
69,9,0.0018516959389671683,244.0,195.0,230.0
70,0,0.024661224335432053,67.0,89.0,56.0
71,1,0.1036108061671257,54.0,51.0,44.0
72,2,0.0009258479694835842,211.0,127.0,116.0
73,3,0.0006733440095558763,219.0,150.0,115.0
74,4,0.001178352045826614,130.0,66.0,109.0
75,5,0.032825518399477005,42.0,61.0,33.0
76,6,0.02575540728867054,88.0,81.0,61.0
77,7,0.051931656897068024,57.0,53.0,33.0
78,8,0.02575540728867054,84.0,83.0,75.0
79,9,0.008921807631850243,76.0,43.0,53.0
80,0,0.01489773578941822,169.0,153.0,128.0
81,1,0.061863478273153305,114.0,121.0,118.0
82,2,0.03484555333852768,80.0,86.0,84.0
83,3,0.06868109107017517,150.0,155.0,150.0
84,4,0.009847655892372131,131.0,121.0,96.0
85,5,0.015318576246500015,98.0,122.0,150.0
86,6,0.008248464204370975,104.0,123.0,92.0
87,7,0.014392727985978127,50.0,55.0,55.0
88,8,0.016328591853380203,200.0,190.0,166.0
89,9,0.20730578899383545,188.0,193.0,192.0
90,0,0.13353413343429565,184.0,204.0,233.0
91,1,0.0444779098033905,35.0,56.0,21.0
92,2,0.018172690644860268,100.0,83.0,30.0
93,3,0.004417670890688896,168.0,44.0,5.0
94,4,0.023694779723882675,246.0,235.0,197.0
95,5,0.0004016064340248704,227.0,60.0,12.0
96,6,0.03192771226167679,66.0,88.0,50.0
97,7,0.028815260156989098,155.0,198.0,245.0
98,8,0.019176706671714783,16.0,34.0,5.0
99,9,0.021184738725423813,56.0,50.0,19.0
100,0,0.013958125375211239,96.0,122.0,141.0
101,1,0.4760717749595642,231.0,236.0,233.0
102,2,0.0038883350789546967,119.0,76.0,63.0
103,3,0.015453639440238476,20.0,20.0,11.0
104,4,0.010867398232221603,127.0,156.0,176.0
105,5,0.008175473660230637,64.0,90.0,108.0
106,6,0.006181455682963133,165.0,192.0,212.0
107,7,0.10658025741577148,192.0,196.0,192.0
108,8,0.052243269979953766,143.0,157.0,160.0
109,9,0.03419740870594978,203.0,195.0,171.0
110,0,0.4746578335762024,241.0,244.0,249.0
111,1,0.011580688878893852,206.0,79.0,60.0
112,2,0.0013535870239138603,149.0,21.0,3.0
113,3,0.12077003717422485,244.0,233.0,208.0
114,4,0.023161377757787704,230.0,236.0,254.0
115,5,0.01729583367705345,214.0,199.0,168.0
116,6,0.00977590586990118,233.0,107.0,92.0
117,7,0.003007971215993166,171.0,48.0,27.0
118,8,0.004511956591159105,214.0,198.0,139.0
119,9,0.0012031884398311377,200.0,204.0,134.0
120,0,0.05639255791902542,193.0,143.0,150.0
121,1,0.018011951819062233,169.0,100.0,111.0
122,2,0.017591111361980438,195.0,143.0,134.0
123,3,0.041158150881528854,155.0,107.0,112.0
124,4,0.014476896263659,203.0,132.0,144.0
125,5,0.01658109575510025,229.0,180.0,169.0
126,6,0.011951856315135956,160.0,109.0,104.0
127,7,0.03972729668021202,225.0,180.0,189.0
128,8,0.14662066102027893,162.0,154.0,151.0
129,9,0.15958252549171448,201.0,193.0,191.0
130,0,0.011104442179203033,249.0,222.0,241.0
131,1,0.002300920430570841,114.0,75.0,85.0
132,2,0.04621848836541176,70.0,91.0,58.0
133,3,0.021508604288101196,244.0,235.0,246.0
134,4,0.3075230121612549,196.0,194.0,195.0
135,5,0.007803121116012335,225.0,187.0,207.0
136,6,0.20148059725761414,165.0,165.0,167.0
137,7,0.003201280487701297,188.0,145.0,162.0
138,8,0.046318527311086655,84.0,87.0,86.0
139,9,0.0011004401603713632,117.0,77.0,62.0
140,0,0.2578449845314026,208.0,197.0,176.0
141,1,0.011058601550757885,206.0,67.0,27.0
142,2,0.1607750505208969,197.0,197.0,189.0
143,3,0.0007561436505056918,103.0,18.0,1.0
144,4,0.000283553876215592,132.0,79.0,5.0
145,5,0.0010396975558251143,215.0,141.0,64.0
146,6,0.06323251128196716,236.0,224.0,203.0
147,7,0.047448016703128815,235.0,229.0,223.0
148,8,0.01965973526239395,169.0,160.0,132.0
149,9,0.023156899958848953,158.0,163.0,154.0
